DIGNIDAD_CODIGO;DIGNIDAD_NOMBRE;PROVINCIA_CODIGO;PROVINCIA_NOMBRE;CIRCUNSCRIPCION_CODIGO_ORIGINAL;CIRCUNSCRIPCION_NOMBRE;CANTON_CODIGO;CANTON_NOMBRE;PARROQUIA_CODIGO;PARROQUIA_NOMBRE;JUNTA_SEXO;CANDIDATO_CODIGO;VOTOS_EN_BLANCO;VOTOS_NULOS;ELECTORES_REGISTRO;ELECTORES_RESULTADOS;SUFRAGANTES;CANDIDATO_VOTOS
1;1;1;1;0;10;275;275;4050;4050;M;16;5;25;573;573;394;92
1;1;1;1;0;10;275;275;4050;4050;M;502;5;25;573;573;394;272
1;1;1;1;0;10;275;275;4565;4565;F;16;10;106;672;672;575;221
1;1;1;1;0;10;275;275;4565;4565;F;502;10;106;672;672;575;238
1;1;1;1;0;10;275;275;4565;4565;M;16;3;43;620;620;453;213
1;1;1;1;0;10;275;275;4565;4565;M;502;3;43;620;620;453;194
1;1;1;1;0;10;275;275;5775;5775;F;16;62;513;7712;7712;5982;1889
1;1;1;1;0;10;275;275;5775;5775;F;502;62;513;7712;7712;5982;3516
1;1;1;1;0;10;275;275;5775;5775;M;16;38;393;7633;7637;5221;1966
1;1;1;1;0;10;275;275;5775;5775;M;502;38;393;7633;7637;5221;2824
1;1;1;1;0;10;280;280;750;750;F;16;5;38;654;654;530;152
1;1;1;1;0;10;280;280;750;750;F;502;5;38;654;654;530;335
1;1;1;1;0;10;280;280;750;750;M;16;4;32;492;492;385;138
1;1;1;1;0;10;280;280;750;750;M;502;4;32;492;492;385;211
1;1;1;1;0;10;280;280;1355;1355;F;16;15;90;1731;1731;1402;379
1;1;1;1;0;10;280;280;1355;1355;F;502;15;90;1731;1731;1402;918
1;1;1;1;0;10;280;280;1355;1355;M;16;5;76;1551;1551;1047;351
1;1;1;1;0;10;280;280;1355;1355;M;502;5;76;1551;1551;1047;615
1;1;1;1;0;10;280;280;1490;1490;F;16;3;17;637;637;531;72
1;1;1;1;0;10;280;280;1490;1490;F;502;3;17;637;637;531;439
1;1;1;1;0;10;280;280;1490;1490;M;16;5;9;551;551;352;61
1;1;1;1;0;10;280;280;1490;1490;M;502;5;9;551;551;352;277
1;1;1;1;0;10;280;280;2215;2215;F;16;8;70;1455;1455;1224;389
1;1;1;1;0;10;280;280;2215;2215;F;502;8;70;1455;1455;1224;757
1;1;1;1;0;10;280;280;2215;2215;M;16;12;44;1292;1292;946;365
1;1;1;1;0;10;280;280;2215;2215;M;502;12;44;1292;1292;946;525
1;1;1;1;0;10;280;280;3360;3360;F;16;19;117;1736;1736;1438;409
1;1;1;1;0;10;280;280;3360;3360;F;502;19;117;1736;1736;1438;893
1;1;1;1;0;10;280;280;3360;3360;M;16;3;76;1464;1464;1068;353
1;1;1;1;0;10;280;280;3360;3360;M;502;3;76;1464;1464;1068;636
1;1;1;1;0;10;280;280;3495;3495;F;16;8;69;1044;1044;831;479
1;1;1;1;0;10;280;280;3495;3495;F;502;8;69;1044;1044;831;274
1;1;1;1;0;10;280;280;3495;3495;M;16;7;31;842;842;534;352
1;1;1;1;0;10;280;280;3495;3495;M;502;7;31;842;842;534;144
1;1;1;1;0;10;280;280;6085;6085;F;16;37;436;6359;6359;5302;1516
1;1;1;1;0;10;280;280;6085;6085;F;502;37;436;6359;6359;5302;3312
1;1;1;1;0;10;280;280;6085;6085;M;16;33;291;5547;5547;3958;1361
1;1;1;1;0;10;280;280;6085;6085;M;502;33;291;5547;5547;3958;2274
1;1;1;1;0;10;285;285;15;15;F;16;4;67;1167;1167;988;399
1;1;1;1;0;10;285;285;15;15;F;502;4;67;1167;1167;988;518
1;1;1;1;0;10;285;285;15;15;M;16;4;59;1303;1303;984;466
1;1;1;1;0;10;285;285;15;15;M;502;4;59;1303;1303;984;455
1;1;1;1;0;10;285;285;3835;3835;F;16;11;29;826;826;688;311
1;1;1;1;0;10;285;285;3835;3835;F;502;11;29;826;826;688;337
1;1;1;1;0;10;285;285;3835;3835;M;16;2;24;784;784;598;274
1;1;1;1;0;10;285;285;3835;3835;M;502;2;24;784;784;598;298
1;1;1;1;0;10;285;285;4610;4610;F;16;2;5;228;228;199;145
1;1;1;1;0;10;285;285;4610;4610;F;502;2;5;228;228;199;47
1;1;1;1;0;10;285;285;4610;4610;M;16;0;12;186;186;159;113
1;1;1;1;0;10;285;285;4610;4610;M;502;0;12;186;186;159;34
1;1;1;1;0;10;285;285;6045;6045;F;16;35;308;6945;6945;5639;3007
1;1;1;1;0;10;285;285;6045;6045;F;502;35;308;6945;6945;5639;2289
1;1;1;1;0;10;285;285;6045;6045;M;16;32;246;7013;7013;5177;2861
1;1;1;1;0;10;285;285;6045;6045;M;502;32;246;7013;7013;5177;2038
1;1;1;1;0;10;555;555;1690;1690;F;16;3;33;447;447;402;194
