DIGNIDAD_CODIGO;DIGNIDAD_NOMBRE;OP_CODIGO;NUM_PARTIDO;CANDIDATO_CODIGO;CANDIDATO_ORDEN_LISTA;CANDIDATO_NOMBRE;CANDIDATO_SEXO;CANDIDATO_GRUPO_EDAD;CANDIDATO_TERRITORIO_CODIGO;CANDIDATO_TERRITORIO_NOMBRE;CANDIDATO_PROVINCIA_CODIGO;CANDIDATO_PROVINCIA_NOMBRE;CANDIDATO_CIRCUNSCRIPCION_CODIGO_ORIGINAL;CANDIDATO_CIRCUNSCRIPCION_CODIGO;CANDIDATO_CIRCUNSCRIPCION_NOMBRE;SUPLENTE1_NOMBRE;SUPLENTE1_SEXO;SUPLENTE1_GRUPO_EDAD;SUPLENTE2_NOMBRE;SUPLENTE2_SEXO;SUPLENTE2_GRUPO_EDAD
7;7;700;008;1570;1;ORMAZA MACHUCA DIEGO ESTEBAN;1;2;1;1;1;1;0;10;10;PRIETO GONZALEZ MARIA FERNANDA;2;2; ; ; 
7;7;739;012;410;5;NIETO SALAMEA CHRISTIAN ANDRES;1;1;1;1;1;1;0;10;10;MORA ARIAS KATHERINE DANIELA;2;1; ; ; 
7;7;618;006;373;5;MOSQUERA MONTENEGRO XAVIER GEOVANNY;1;2;1;1;1;1;0;10;10;REY ROMERO LILYBETH DEL ROCIO;2;2; ; ; 
7;7;700;008;1584;3;LEON CORDOVA ROLDISON STALIN;1;1;1;1;1;1;0;10;10;PACHECO FAJARDO JUANA LUCIA;2;1; ; ; 
7;7;620;003;1440;2;SEGARRA ABAD ANGELICA JOHANNA;2;2;1;1;3;3;0;30;30;LEMA MINCHALA NELSON NEPTALI;1;2; ; ; 
7;7;620;003;1645;2;LANDI MONTALEZA ADRIANA EMPERATRIZ;2;1;1;1;1;1;0;10;10;PLAZA DELEG MARIO ROLANDO;1;5; ; ; 
7;7;737;061;987;3;MENDEZ SANMARTIN JUAN SEBASTIAN;1;1;1;1;1;1;0;10;10;MEDINA COX ANDREA ESPERANZA;2;2; ; ; 
7;7;620;003;1664;4;VEGA MOROCHO ZOILA VERONICA;2;1;1;1;1;1;0;10;10;MANCHENO VALVERDE RUBENS PATRICIO;1;2; ; ; 
7;7;737;061;982;2;GUERRERO GORDILLO JOHMARA MICHELLE;2;1;1;1;1;1;0;10;10;ARIAS GORDILLO DENNIS MANOLO;1;1; ; ; 
7;7;720;001;204;4;VASQUEZ QUITO KARLA MARLENE;2;1;1;1;1;1;0;10;10;CAMPOVERDE TAPIA SANTIAGO MAURICIO;1;1; ; ; 
7;7;721;010;1420;5;ZAMORA RODAS HERNAN ESTEBAN;1;1;1;1;1;1;0;10;10;MOREIRA AVEROS JESSICA TATIANA;2;1; ; ; 
7;7;3;021023062;169;5;ALBORNOZ MUÑOZ DAVID ESTEBAN;1;1;1;1;1;1;0;10;10;BELTRAN GUERRERO KARLA VIVIANA;2;2; ; ; 
7;7;740;007;324;4;JARAMILLO CALLE JOSSELINE CRISTINA;2;1;1;1;1;1;0;10;10;VASQUEZ VEGA RUBEN ARTURO;1;3; ; ; 
7;7;25;006063;1252;1;TAPIA LOMBEYDA LUIS FERNANDO;1;6;1;1;2;2;0;20;20;MERA RODRIGUEZ MARIA PAULINA;2;3; ; ; 
7;7;740;007;407;3;GARCIA RAMIREZ PIEDAD HORTENCIA;2;6;1;1;2;2;0;20;20;GARCIA BORJA EDWIN ESTELIN;1;3; ; ; 
7;7;618;006;578;1;GARCIA SEGURA PEDRO RAMIRO;1;5;1;1;23;23;0;230;230;ZAMBRANO VEGA JUAN LUIS;1;3; ; ; 
9;9;614;051;917;5;CARRERA VEGA MOISES HERMENEGILDO;1;4;1;1;0;0;0;0;0;CAIZATOA CHULCA MARIA FERNANDA;2;2; ; ; 
7;7;589;035;1549;3;ARREGUI RUEDA MARCIA CECILIA;2;4;1;1;12;12;0;120;120;SALINAS OCHOA CAMILO AURELIO;1;2; ; ; 
7;7;25;006063;1263;3;MELENDEZ CASTRO MARCO WASHINGTON;1;4;1;1;2;2;0;20;20;BORJA BORJA LILIANA NATALY;2;1; ; ; 
7;7;6;021100;44;2;SUAREZ PAZMIÑO MARCELA GUADALUPE;2;4;1;1;2;2;0;20;20;CHELA AGUALONGO WILLIAM RENSO;1;2; ; ; 
7;7;629;023;970;1;SINMALEZA SANCHEZ ANGEL RUPERTO;1;4;1;1;2;2;0;20;20;GONZALEZ VASCONEZ TERESITA XIMENA;2;4; ; ; 
7;7;620;003;434;3;PILCO ZURITA ANGEL HUMBERTO;1;4;1;1;2;2;0;20;20;FEIJOO RUBIN MAYRA FLOR;2;2; ; ; 
7;7;740;007;1364;1;HINOJOSA FRANKLIN BENITO;1;4;1;1;22;22;0;220;220;ANGULO CEVALLOS SANTO ANIBAL;1;3; ; ; 
7;7;49;018001;1492;3;CARDENAS LORENCES MARCELO JAVIER;1;4;1;1;2;2;0;20;20;PUNGAÑA ZARUMA TRANSITO;2;4; ; ; 
7;7;700;008;543;2;CHAVEZ GARCIA MARIA EUGENIA;2;4;1;1;17;17;4;174;174;MONTUFAR REINOSO ENRIQUE ALEJANDRO;1;2; ; ; 
7;7;42;035017;1400;2;DAHIK ASTUDILLO REYTA GIOMAR;2;3;1;1;2;2;0;20;20;ESPINEL RUIZ LLEGUERLY CALEB;1;2; ; ; 
7;7;42;035017;1404;3;GAIBOR YANEZ NELSON DAVID;1;3;1;1;2;2;0;20;20;RIERA TOAPANTA MAYRA JOHANNA;2;2; ; ; 
7;7;629;023;984;3;BALLESTEROS VACA JULIO CESAR;1;2;1;1;2;2;0;20;20;SANCHEZ GARCIA JESUS PATRICIA;2;3; ; ; 
7;7;29;012002;923;2;MONTERO AGUILAR SONIA ELIZABETH;2;3;1;1;2;2;0;20;20;PAREDES GARCES GUSTAVO ALFREDO;1;6; ; ; 
7;7;618;006;918;2;LEON ZAVALA MARCO ANTONIO;1;3;1;1;8;8;0;80;80;LANDAZURI ARCE INES ROCIO;2;3; ; ; 
7;7;6;021100;43;1;PACHALA POMA LUIS ALBERTO;1;3;1;1;2;2;0;20;20;ARREGUI SANCHEZ NORMA OFELIA;2;5; ; ; 
7;7;29;012002;928;3;BORJA ANDRADE LUIS ENRIQUE;1;3;1;1;2;2;0;20;20;HUILCA PAZMIÑO MARYURI DERMA;2;3; ; ; 
7;7;620;003;426;1;BORJA BORJA CARLOS GERMAN;1;3;1;1;2;2;0;20;20;GUINGLA TACO YADIRA ANDREA;2;1; ; ; 
7;7;626;017;1775;1;GARCIA PONCE JAIME MARCELO;1;3;1;1;12;12;0;120;120;CAICEDO MALLEA SEGUNDO VICENTE;1;4; ; ; 
7;7;676;019;1308;1;BONILLA VERDEZOTO VICTOR OSWALDO;1;3;1;1;2;2;0;20;20;GOYES NOBOA GLORIA CHRISTINA;2;1; ; ; 
7;7;42;035017;1396;1;GAVILANEZ CAMACHO FAFO HOLGUIN;1;3;1;1;2;2;0;20;20;FUENTES NARANJO PAULINA DEL CARMEN;2;3; ; ; 
7;7;26;008051;1493;1;SALTOS CHACAN CARLOS REMIGIO;1;3;1;1;2;2;0;20;20;CARRERA GONZALEZ LILIAN MARCELA;2;2; ; ; 
7;7;49;018001;1485;1;CHIMBO CHIMBO SEGUNDO JOSE;1;2;1;1;2;2;0;20;20;CARBALLO ESPIN MARCIA JACKELINE;2;3; ; ; 
7;7;6;021100;45;3;MORA VACA WASHINGTON FERNANDO;1;3;1;1;2;2;0;20;20;CAMACHO GARCIA STEFANIA IVANOBA;2;1; ; ; 
7;7;26;008051;1497;2;BARRAGAN IBARRA KARINA ELIZABETH;2;2;1;1;2;2;0;20;20;ANDRADE CASTILLO IBAN ALCIVAR;1;2; ; ; 
7;7;741;005;1586;1;LARA BAÑOS ROBINSON HERNAN;1;3;1;1;2;2;0;20;20;SAMANIEGO ALARCON LOURDES XIMENA;2;1; ; ; 
7;7;26;008051;1506;3;GONZALEZ GAVILANES LUIS FERNANDO;1;2;1;1;2;2;0;20;20;MANZANO CACERES RUBI DALILA;2;2; ; ; 
7;7;676;019;1316;3;MONAR SANCHEZ ELIAS RUDESINDO;1;2;1;1;2;2;0;20;20;BONILLA VERDEZOTO ZOILA GUADALUPE;2;4; ; ; 
9;9;626;017;1789;11;GAIBOR ARMIJO DANNY FABRICIO;1;2;1;1;0;0;0;0;0;LANDETA MORALES MARIA BELEN;2;3; ; ; 
7;7;629;023;979;2;AGUACHELA CHIMBOLEMA MARIA TRANSITO;2;2;1;1;2;2;0;20;20;CARVAJAL CARVAJAL ROMULO ANIBAL;1;4; ; ; 
7;7;676;019;1313;2;PAGALO TIXE ANITA JUDITH;2;2;1;1;2;2;0;20;20;MONTERO MALDONADO FABIAN ALBERTO;1;2; ; ; 
7;7;49;018001;1487;2;MONAR BUENAÑO VICTORIA MARIANELA;2;1;1;1;2;2;0;20;20;SAA ALARCON WILSON FERNANDO;1;2; ; ; 
7;7;741;005;1597;2;MONTESDEOCA LARA KATERIN LAURA;2;1;1;1;2;2;0;20;20;CUACES LOPEZ GEOVANY SEGUNDO;1;3; ; ; 
7;7;740;007;1140;1;COBOS VINTIMILLA NELLY ANGELICA;2;6;2;2;27;27;0;270;270;ORRANTIA PONCE LUIS ANTONIO;1;3; ; ; 
7;7;589;035;358;1;CARDENAS ESPINOZA JUAN JORGE;1;6;1;1;3;3;0;30;30;VELEZ RODAS MONICA PATRICIA;2;3; ; ; 
9;9;588;018;1061;5;PICHIZACA PINGUIL MANUEL ANASTACIO;1;6;1;1;0;0;0;0;0;TUQUERRES IMBAQUINGO LUZ AMERICA;2;2; ; ; 
9;9;589;035;825;9;QUISHPI VELEZ LUIS MANUEL;1;6;1;1;0;0;0;0;0;ECHEVERRIA ANDRADE ROSA DEL CARMEN;2;6; ; ; 
7;7;618;006;189;1;LEON SARMIENTO NELSON HOMERO;1;6;1;1;3;3;0;30;30;MOREJON VASQUEZ TAMARA ELISABETH;2;2; ; ; 
7;7;676;019;1685;1;VIVAR ANDRADE FANNY BEATRIZ;2;5;1;1;9;9;1;91;91;LUMBANO VILLACIS CESAR BJOERNSTJERNE;1;4; ; ; 
7;7;53;002012017;1504;1;MOLINA CRESPO MARIA ELIZABETH;2;4;1;1;3;3;0;30;30;CRESPO VERDUGO HERNAN;1;5; ; ; 
7;7;700;008;780;1;MOROCHO QUINTEROS MANUEL EUGENIO;1;4;1;1;3;3;0;30;30;MENDIETA CALLE DOLORES ZENAIDA;2;1; ; ; 
7;7;2;021023;602;3;VAZQUEZ LOPEZ REMIGIO ANTONIO;1;4;1;1;3;3;0;30;30;ZHINDON IDROVO PILAR VERONICA;2;2; ; ; 
7;7;588;018;730;2;CASTRO MAYANCELA MANUEL MARIA;1;4;1;1;3;3;0;30;30;ROMERO PEREZ VERONICA TATIANA;2;1; ; ; 
7;7;618;006;191;3;ABAD ANDRADE MANOLO EDUARDO;1;4;1;1;3;3;0;30;30;ARGUDO ARGUDO MAYRA LORENA;2;1; ; ; 
7;7;721;010;1583;1;ZAMORA LOZADA YENNI ELENA;2;3;1;1;3;3;0;30;30;MUICELA MOROCHO SANTIAGO MARCOS;1;2; ; ; 
7;7;740;007;361;1;PEREZ LEON JAIME EFRAIN;1;4;1;1;3;3;0;30;30;AGUILERA VASQUEZ SILVIA MARGARITA;2;2; ; ; 
7;7;53;002012017;1534;3;ABAD LOPEZ DIGNA ANGELITA;2;4;1;1;3;3;0;30;30;PINOS ORTIZ VICTOR MANUEL;1;4; ; ; 
7;7;2;021023;601;2;OCHOA MALDONADO KATTY MAGALY;2;3;1;1;3;3;0;30;30;OTERO PEÑA LIVISHTONG DENIZ;1;2; ; ; 
7;7;721;010;1591;2;PAREDES TORRES KLEVER OSWALDO;1;4;1;1;3;3;0;30;30;GUAMAN CALLE MERCI ADALITH;2;3; ; ; 
